LAT,LON,SPEED,COURSE,HEADING,DESTINATION,FLAG,LENGTH,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,DWT,DATETIME,PORT,date,week_nb,ship_type,port,is_parked
54.77127,18.99692,99,200,196,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T11:29:01Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.76542,18.99361,100,200,196,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T11:31:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.76007,18.99059,102,196,196,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T11:33:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.75468,18.98753,102,198,196,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T11:35:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.74926,18.98447,102,196,195,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T11:37:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.74385,18.9815,102,198,196,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T11:39:01Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.73847,18.97842,101,197,196,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T11:41:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.73228,18.97505,101,194,196,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T11:43:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.72687,18.97215,102,199,196,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T11:45:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.72149,18.96915,104,199,197,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T11:47:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.71603,18.96611,101,200,197,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T11:49:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.71064,18.96314,102,195,197,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T11:51:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.71064,18.96314,102,195,197,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T11:53:01Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.70249,18.95867,103,199,198,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T11:55:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.69622,18.95493,103,199,199,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T11:57:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.69083,18.95175,102,200,199,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T11:59:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.68539,18.94862,103,198,201,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:01:09Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.67916,18.94461,103,201,201,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:03:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.67377,18.94113,103,201,201,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:05:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.66839,18.93759,104,202,203,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:07:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.66302,18.93393,104,198,200,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:09:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.65741,18.93085,104,193,195,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:11:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.65179,18.92818,105,195,196,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:13:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.64617,18.92541,105,194,196,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:15:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.64055,18.92261,105,195,196,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:17:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.63503,18.91946,102,199,202,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:19:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.62977,18.91534,103,207,207,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:21:11Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.62461,18.91091,104,205,206,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:23:01Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.61952,18.90633,103,208,208,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:25:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.61441,18.90163,104,207,208,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:27:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.60884,18.89647,105,207,208,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:29:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.6037,18.89152,106,211,210,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:31:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.59829,18.88569,106,211,212,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:33:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.59343,18.88003,105,214,217,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:35:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.58885,18.87388,105,218,219,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:37:01Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.58431,18.8675,105,218,219,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:39:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.57984,18.86108,104,221,221,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:41:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.57549,18.85447,105,220,221,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:43:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.56664,18.84112,106,222,222,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:47:01Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.5644,18.83774,107,222,222,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:49:01Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.5644,18.83774,107,222,222,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:51:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.5644,18.83774,107,222,222,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:53:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.5644,18.83774,107,222,222,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:55:01Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.54369,18.80568,97,222,223,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T12:59:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.53971,18.79936,98,220,220,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T13:01:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.53133,18.7873,98,220,220,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T13:05:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.52716,18.78131,97,219,220,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T13:07:10Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.523,18.7753,98,219,220,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T13:09:01Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.51851,18.76883,97,220,220,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T13:11:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.51438,18.76283,97,219,220,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T13:13:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.51026,18.7568,98,219,220,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T13:15:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.50785,18.75325,98,220,220,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T13:17:01Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.50165,18.74412,98,221,220,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T13:19:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.49924,18.74054,98,221,220,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T13:21:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.49306,18.73135,98,220,220,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T13:23:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.48894,18.72523,98,219,219,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T13:25:01Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.4848,18.71914,97,221,220,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T13:27:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.48062,18.7132,97,218,217,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T13:29:01Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.47639,18.70733,98,219,218,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T13:31:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.47213,18.70151,98,218,219,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T13:33:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.46791,18.69565,97,217,217,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T13:35:01Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
54.46585,18.69279,97,220,221,GDANSK,MT,100,KAROLI,7,2764,14,5727,2016-12-19T13:37:09Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0
